region,region_label,island_group,comp_upsec_2017_pct,eduyears_2017,out_of_school_upsec_2017_pct,tourist_arrivals,population,arrivals_per_capita,data_source_notes
Bicol,Bicol,Luzon,65.1,10.83,11.3,,,,
Cagayan Valley,Cagayan Valley,Luzon,70.2,11.04,21.2,,,,
Calabarzon,Calabarzon,Luzon,80.3,11.9,13.8,,,,
Central Luzon,Central Luzon,Luzon,75.2,11.32,16.0,,,,
Cordillera,Cordillera,Luzon,86.1,12.38,14.3,,,,
Ilocos,Ilocos,Luzon,79.8,11.48,8.6,,,,
Mimaropa,Mimaropa,Luzon,71.5,10.93,15.1,,,,
National Capital,NCR (Metro Manila),Luzon,84.8,12.75,10.5,,,,
Autonomous Region In Muslim Mindanao,BARMM (formerly ARMM),Mindanao,45.5,8.93,29.2,,,,
Caraga,Caraga,Mindanao,68.8,10.84,10.2,,,,
Davao,Davao,Mindanao,80.2,11.84,19.8,,,,
Northern Mindanao,Northern Mindanao,Mindanao,60.6,10.66,15.5,,,,
Soccsksargen,Soccsksargen,Mindanao,57.4,9.53,23.2,,,,
Zamboanga Peninsula,Zamboanga Peninsula,Mindanao,56.5,10.45,12.3,,,,
Central Visayas,Central Visayas,Visayas,74.3,10.91,17.6,,,,
Eastern Visayas,Eastern Visayas,Visayas,66.9,10.94,19.9,,,,
Western Visayas,Western Visayas,Visayas,73.5,11.2,15.7,,,,
